Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-06-01,12.022772789001465,12.288788795471191,12.0150146484375,12.071320533752441,106565328,0,0.0
2010-06-02,12.179179191589355,12.359108924865723,12.048548698425293,12.346596717834473,101530368,0,0.0
2010-06-03,12.39013957977295,12.712713241577148,12.37987995147705,12.652652740478516,145881972,0,0.0
2010-06-04,12.505505561828613,12.743993759155273,12.429929733276367,12.480480194091797,156655188,0,0.0
2010-06-07,12.488988876342773,12.535284996032715,12.090841293334961,12.150150299072266,145162692,0,0.0
2010-06-08,12.208457946777344,12.233233451843262,11.95044994354248,12.131631851196289,107296596,0,0.0
2010-06-09,12.192692756652832,12.234233856201172,11.811812400817871,11.862361907958984,109050840,0,0.0
2010-06-10,12.021270751953125,12.224724769592285,11.90790843963623,12.187437057495117,103012884,0,0.0
2010-06-11,12.074575424194336,12.22998046875,12.052553176879883,12.224724769592285,71196732,0,0.0
2010-06-14,12.374374389648438,12.37487506866455,12.091841697692871,12.091841697692871,81534384,0,0.0
